event_id,process_id,process_name,task_id,role,assignee_id,department,start_time,end_time,duration_minutes,expected_duration,is_delayed,status,cost_per_hour,cost
ev_000001,proc_procurement,Закупка оборудования,req,IT Operations,emp_008,dept_itops,2024-04-29T16:38:00,2024-04-29T18:01:00,83,60,1,blocked,1000,1383.33
ev_000002,proc_finance,Пополнение счета / оплата поставщика,pay,Finance,emp_006,dept_finance,2024-01-04T10:44:00,2024-01-04T11:22:00,38,30,1,in_progress,800,506.67
ev_000003,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-02-17T14:06:00,2024-02-17T14:34:00,28,45,0,completed,1200,560.0
ev_000004,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-07-12T09:35:00,2024-07-12T10:59:00,84,60,1,blocked,1200,1680.0
ev_000005,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-12-26T09:02:00,2024-12-26T10:40:00,98,120,0,completed,800,1306.67
ev_000006,proc_contract,Согласование контракта с клиентом,review,Finance,emp_mgr_002,dept_finance,2024-11-21T13:10:00,2024-11-21T14:03:00,53,120,0,completed,1200,1060.0
ev_000007,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-11-07T18:10:00,2024-11-07T19:21:00,71,120,0,in_progress,1200,1420.0
ev_000008,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-04-27T08:51:00,2024-04-27T09:46:00,55,45,1,in_progress,800,733.33
ev_000009,proc_finance,Пополнение счета / оплата поставщика,approve,Director,emp_dir_001,Management,2024-12-01T15:25:00,2024-12-01T16:19:00,54,45,0,completed,800,720.0
ev_000010,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-10-25T14:23:00,2024-10-25T16:31:00,128,120,0,completed,1200,2560.0
ev_000011,proc_contract,Согласование контракта с клиентом,draft,Procurement,emp_001,dept_procurement,2024-02-26T10:40:00,2024-02-26T12:01:00,81,90,0,in_progress,1000,1350.0
ev_000012,proc_contract,Согласование контракта с клиентом,approve,Director,emp_dir_001,Management,2024-10-10T08:43:00,2024-10-10T10:13:00,90,60,1,blocked,1200,1800.0
ev_000013,proc_budget,Финансовое планирование / изменение бюджета,approve,Director,emp_dir_001,Management,2024-02-27T12:27:00,2024-02-27T13:56:00,89,120,0,blocked,1000,1483.33
ev_000014,proc_finance,Пополнение счета / оплата поставщика,invoice,Procurement,emp_003,dept_procurement,2024-11-23T16:38:00,2024-11-23T17:00:00,22,30,0,in_progress,800,293.33
ev_000015,proc_procurement,Закупка оборудования,payment,Finance,emp_006,dept_finance,2024-09-07T08:07:00,2024-09-07T09:29:00,82,60,1,in_progress,800,1093.33
ev_000016,proc_procurement,Закупка оборудования,budget_check,Finance,emp_004,dept_finance,2024-02-13T15:52:00,2024-02-13T17:59:00,127,120,0,blocked,800,1693.33
